Image	Name	Faction	Type	Cost	Honor	Rarity	Set	Text
	Aaron the Godslayer	Enlightened	Hero	7	4	1	IH	Defeat a Monster without paying its cost.
	Abolisher	Void	Hero	2	1	3	SoS	Gain (1 Rune). You may banish a card in your hand. If you do, gain an additional (1 Rune).
	Acidic Crawler	Monster		6	5	3	IH	Reward: (5 Honor). If an opponent controls the most Constructs, destroy all Constructs that player controls. (If multiple opponents are tied for the most Constructs, they all destroy them. If you control the most, do nothing).
	Adayu, the Chosen	Enlightened	Hero	8	6	1	RotF	Acquire or defeat any card in the center row. (You do not have to pay (Rune) or (Power).)
	Aiyana's Messenger	Lifebound	Hero	1	1	3	SoS	Gain (1 Rune). You pay (1 Rune) less the next time you acquire a Hero this turn.
	Akam, the Genie	Monster		7	3	1	IH	Reward: (3 Honor).  Ongoing Trophy: Put three Wish counters on Akam.  Once per turn, you may remove a Wish counter to gain (2 runes) or (2 power).  When Akam has no Wish counters, banish it.
	Annihilation	Void	Event	0	0	0	IH	When a player acquires a Void card, that player may banish a card in his hand or discard pile.  Event Trophy: Gain (1 Power).
	Anointed Askara	Enlightened	Hero	5	3	2	DU	Draw a card. Once this turn, when you acquire a Hero or Construct from the center row, put it into your hand.
	Apprentice			0	0	0		(+1 Rune).
	Arbiter of Fate		Soul Gem	0	0	2	IH	FATE: When this enters the center row, each player may banish a card from their hand or discard pile.  Draw a card. You may banish a card in your hand or discard pile. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Arbiter of Fate	Void	Hero	4	2	2	RotF	FATE: When this enters the center row, each player may banish a card from their hand or discard pile.  Draw a card. You may banish a card in your hand or discard pile.
	Arbiter of the Lost	Void	Hero	4	3	2	DU	Gain (2 Energy). You may banish a card in your hand or discard pile.
	Arbiter of the Precipice	Void	Hero	4	1	2	CotG	Draw two cards. Banish a card in your hand.
	Arha Medium	Enlightened	Hero	2	1	3	IH	You may banish this to acquire a Mystic or Heavy Infantry without paying its cost. Put it into your hand.
	Arha Initiate		Soul Gem	0	0	2	IH	Draw a card. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Arha Initiate	Enlightened	Hero	1	1	3	CotG	Draw a card.
	Arha Mentor	Enlightened	Hero	4	2	2	DU	Energize (2): Draw a card. You may banish a card from your hand. If you do, acquire a Mystic or Heavy Infantry without paying its cost and put it into your hand.
	Arha Rising	Enlightened	Event	0	0	0	SoS	Once during their turn, when a player discards any number of cards, they may return one of them to their hand.  Event Trophy: Draw a card.
	Arha Sanctuary	Enlightened	Construct	3	2	1	Promo	When this enters play, put the top card of your deck under this face up. Once per turn, you may swap a card in your hand for the card under Arha Sanctuary.  When Arha Sanctuary leaves play or the game ends, put the card under it into your discard pile.
	Arha Sensei	Enlightened	Hero	3	2	3	RotF	Banish a card in your hand. If you do, acquire a Mystic or Heavy Infantry. Add it to your hand.
	Arha Templar		Soul Gem	0	0	2	IH	Defeat a Monster that has (4 power) or less without paying its cost. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Arha Templar	Enlightened	Hero	4	3	2	CotG	Defeat a Monster that has (4 power) or less without paying its cost.
	Ascetic of the Lidless Eye		Soul Gem	0	0	2	IH	Draw two cards. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Ascetic of the Lidless Eye	Enlightened	Hero	5	2	2	CotG	Draw two cards.
	Askara of Fate	Enlightened	Hero	4	2	2	RotF	FATE: When this enters the center row, each player may draw a card.  Draw two cards. Each other player may draw a card. Then you may banish a card in the center row.
	Askara of Fortune	Enlightened	Hero	3	1	1	Promo	Each player reveals the top card of their deck. Choose a Hero revealed this way and copy its effect.
	Askara of Souls	Enlightened	Hero	4	2	2	IH	Gain a Soul Gem.
	Assimilation Plant	Mechana	Construct	9	9	1	Promo	Your Mechana Heroes are Constructs instead. You may use their abilities once per turn.  If this leaves play, put all of your Mechana Heroes in play into your discard pile.
	Astrolabe TRX	Mechana	Construct	5	5	2	IH	Once per turn, when you play a Mechana Construct (including this one), gain (1 Honor).
	Autobuilder 5.0	Mechana	Construct	5	5	2	SoS	You may destroy this to pay (2 Rune) less the next time you acquire a Mechana Construct this turn.
	Avatar Golem		Soul Gem	0	0	2	IH	Gain (2 Power). Gain (1 Honor) for each faction among Constructs you control. (Factions are Enlightened, Mechana, Lifebound, and Void.) (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Avatar Golem	Mechana	Hero	4	2	2	CotG	Gain (2 Power). Gain (1 Honor) for each faction among Constructs you control. (Factions are Enlightened, Mechana, Lifebound, and Void.)
	Avatar of Aiyana	Lifebound	Hero	7	4	1	SoS	Gain (2 Rune). This turn, you may acquire Heroes in the center row by paying (Rune) equal to their (Honor) instead of paying their (Rune) cost.
	Avatar of the Fallen	Monster		7	4	1	CotG	Unbanishable. Reward: Gain (4 Honor). You may acquire or defeat any card in the center row without paying its cost.
	Azerax, Nyx's Chosen	Void	Transformed Hero	7	5	1	DU	Gain (6 Power). You may banish any number of cards in your hand and/or discard pile.
	Azerax of the Black Watch	Void	Hero	7	3	1	DU	Energize (4): Transform this into Azerax, Nyx's Chosen. (Ignore the rest of this card's effect.) Gain (4 Power). You may banish a card in your hand or discard pile.
	Battery Monk	Mechana	Hero	2	1	3	RotF	You may pay (1 Rune) less the next time you acquire a Construct this turn. Draw a card.
	Bazu, Duke of Scorn	Monster		6	4	1	RotF	Reward: Gain (4 honor). Each opponent either discards a card for each Construct they control or puts all Constructs into their discard pile.
	Beacon Shaman	Lifebound	Hero	2	1	3	RoV	Reveal the top card of your deck and put it in your hand. If it is a Treasure, gain (3 Honor).
	Beast Staff	Lifebound	Construct	4	2	2	IH	Gain (1 Power).  Once per turn, you may pay (1 rune) to reveal the top card of your deck. Gain (honor) equal to its (honor) value.
	Belthar, Soul Collector	Void	Hero	6	3	1	IH	Gain (3 Power).  The next time you defeat a Monster in the center row this turn, gain (3 Runes).
	Big Bad Bunny	Monster		8	5	1	Promo	FATE: Place a card from the center deck facedown under this and each other card in the center row. Whenever a player acquires or defeats a card on top of a facedown card, they acquire or defeat the facedown card without paying its cost.  Reward: Gain (5 Honor). Acquire or defeat all facedown cards in the center row.
